,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
147,247,Aliens,1986,Fantasy,136,United States,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston",8.0,7.93,8.0,382,"After sixty years of hibernation, Ellen Ripley, the only survivor of the terrible adventure of the spaceship Nostromo, as she arrives on Earth receives the task of leaving to ascertain why the colony of the planet Archeron has mysteriously cut off contact with the base. Arriving with a team of space marines at the colony, she discovers that the pioneers have been victims of the proliferation of monstrous aliens, very similar to the one that attacked the Nostromo. But the even worse fact is that, on that planet, the terrible generator of those creatures has nested with its immense nest. Eliminated one by one all of Ripley's companions, in a titanic clash the warrior woman and the alien giantess fight for the safety of her progeny, the other for the life of the only human survivor of the colony, Newt, a child .","Exception that proves the rule: a better sequel to the model. James Cameron (""Titanic"") shapes the tension superbly and transforms the story into a kind of metaphor for motherhood. Ripley against the alien-mother, against each other a (r) mate. A masterpiece of science fiction cinema, a jewel of superfine suspense.",1,4,1,4,0
149,249,Romancing the Stone,1984,Adventure,105,United States,Robert Zemeckis,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman, Alfonso Arau, Manuel Ojeda, Holland Taylor, Mary Ellen Trainor",7.2,7.47,7.0,178,"Joan Wilder (Turner), shy writer of sentimental novels, is warned that her sister was kidnapped in Colombia where she went to look for her missing husband who, before dying, sent her a map that allows her to find a precious green stone. . The girl decides to leave for Colombia where she will try to exchange the map with her sister's freedom. Arriving in Cartagena, however, she is chased not only by the two confused kidnappers, but also by a dangerous drug dealer who has sensed the existence of the map. Joan would be lost if Jack Colton (Douglas), a likeable adventurer in all similar to the heroes created by Wilder in her novels, did not intervene at her side and lived with her a thousand adventures, fortunately with a happy ending. Joan will return to New York completely different: beautiful, self-confident, self-confident and very much in love.","This funny story, based on the success of Indiana Jones, has in turn originated a sequel, always with the same protagonists, but of lesser success.",3,3,1,2,1
150,250,Run for Cover,1954,Western,92,United States,Nicholas Ray,"James Cagney, Viveca Lindfors, John Derek, Jean Hersholt, Grant Withers, Jack Lambert, Ernest Borgnine, Ray Teal, Irving Bacon",7.2,7.33,7.0,34,"Former bandit Matt befriends Davey, and becomes sheriff. But the past returns, and Davey betrays him. Despite himself, Matt must then go after him.","Ray didn't like this film of his, which is compelling and remarkably original. The western structure and that of the conflict between fathers and sons cover an evident anti-maccartist prabola on the execution of the innocent and intolerance.",1,3,0,2,0
157,262,King Solomon's Mines,1985,Adventure,99,United States,J. Lee Thompson,"Richard Chamberlain, Sharon Stone, Herbert Lom, John Rhys-Davies, Ken Gampu, June Buthelezi, Sam Williams",4.4,4.0,5.0,19,"At the turn of the century, in Southern Rhodesia, an archaeologist named Huston is kidnapped by the men of Dogati, the head of an indigenous tribe acting on behalf of Colonel Bockner, a Prussian officer in command of the colonial occupation troops. The beautiful Jessie, daughter of the kidnapped, hires Allan Quatermain, adventurer and man of action, to look for her father.","Inoffensive remake of a novel by Rider Haggard already transposed in '37 by Robert Stevenson and in '50 by Compton Bennet. The film piles up alleged comic gags and flat action scenes in an attempt to clone the Indiana Jones adventure saga. However, the operation is unsuccessful. Sharon Stone was not yet famous.",1,2,0,1,0
190,310,Broken Arrow,1950,Western,92,United States,Delmer Daves,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer, Joyce Mackenzie, Arthur Hunnicutt",8.0,7.75,8.0,40,"Tom Jefford (James Stewart), a former colonizer, has a good relationship with the Indians, but for this reason he is frowned upon by many whites. After the sudden massacre of a detachment of soldiers Tom, who seeks justification for his Indian friends, risks being lynched. He is rescued by a general and then agrees to go with him to the tribe of Cochise (Jeff Chandler), where he marries an Indian girl (Debra Paget).","Authentic forerunner of the critical ""revision"" in regard to the Indians, the film made, at the time, a sensation. But its merits are not only of content. The story is clever and compelling, the interpreters are effective, and the overall performance is very good.",2,4,4,4,3
194,316,Colorado Territory,1949,Western,93,United States,Raoul Walsh,"Joel McCrea, Virginia Mayo, Dorothy Malone, Henry Hull, John Archer, James Mitchell, Morris Ankrum, Basil Ruysdael, Frank Puglia",8.0,8.11,8.0,30,"Bandit Wes McQueen (McCrea) escapes a Missouri prison and joins his old gang, arranging a heist. The idea is to storm a train loaded with dollars. Sensing the moves of old friends, he teams up with Colorado (Mayo) and gets away with it.","Beautiful western remake of ""A Bullet for Roy"" by Walsh himself. It is an example of an adult western, mixed with furious romanticism and with a tension that never subsides. The setting of the finale is splendid.",0,3,0,2,0
202,331,Forever Amber,1947,Adventure,135,United States,Otto Preminger,"Linda Darnell, Cornel Wilde, Richard Greene, George Sanders, Glenn Langan, Richard Haydn, Jessica Tandy, Anne Revere, John Russell",7.4,7.4,7.0,21,"Ambra is the illegitimate daughter of an English noble of the seventeenth century and is raised by poor farmers. Her ambition leads her to bond with an adventurer of noble origins: it is the first stage of her itinerary that will then see her alongside brigands, captains of fortune and great figures of the kingdom until she arrives at the same court where she is noticed by the king. In London, however, meanwhile, the plague breaks out.",The film organizes all the matter in an original and fresh way. Well acted and spectacular.,1,3,2,2,1
245,392,Flesh and Blood,1985,Adventure,123,United States,Paul Verhoeven,"Rutger Hauer, Jennifer Jason Leigh, Tom Burlinson, Jack Thompson, Fernando Hilbeck, Susan Tyrrell, Ronald Lacey, Brion James",6.8,6.73,7.0,59,"In 1500 the noble Arnolfini besieged his city with the intention of reconquering it. In the enterprise he is aided by Captain Hawkwood's band of mercenaries. The young scholar Stephan, promised to the beautiful Agnes, is part of the company. But the disbanded mercenaries, led by Martin, kidnap the girl: Martin rapes her and, barricaded himself in a castle, is attacked by Stephan and Hawkwood.","Here is a Verhoeven (in his first American film) on the verge of horror visionary: the usual Rutger Hauer lends himself as a ""mask"" of terror before entrusting his icy face to ""The Hitcher - The long road of fear"".",1,2,0,2,1
278,441,Android,1982,Fantasy,80,United States,Aaron Lipstadt,"Klaus Kinski, Don Keith Opper, Brie Howard, Norbert Weisser, Crofton Hardester, Kendra Kirchner, Gary Corarito, Mary Ann Fisher, Darrell Larson",7.0,8.0,6.0,15,"In 2036, following a rebellion in Germany, androids are banished from planet Earth. In a space base, Dr. Daniel (Klaus Kinski), mad scientist aided by the young android Max 404, is clandestinely developing Cassandra, a perfect female prototype. The sudden arrival of three fugitives, Keller, Mendes and Maggie, who are wanted by the space police, complicates Daniel's life. The twists and turns follow one another, until the three are killed. Rhythm, constant tension and good found, with a Kinski in great shape.",,0,3,0,3,1
279,442,The Andromeda Strain,1971,Fantasy,120,United States,Robert Wise,"Arthur Hill, David Wayne, James Olson, Kate Reid, Paula Kelly, George Mitchell, Ramon Bieri, Kermit Murdock, Richard O'Brien",6.6,6.33,7.0,79,"An artificial satellite crashes from space into a small town in New Mexico, and the inhabitants die of a mysterious disease. The only survivors, an old man and a child, are locked up together with the UFO in a laboratory with a self-destruct system, in order to block any ""escapes"" and risks of contamination of the external environment. Scientists spot a deadly extraterrestrial living cell.","Director Robert Wise, who had already authored a masterpiece of science fiction cinema like Ultimatum alla Terra twenty years earlier, envelops the events in a climate of growing anguish.",0,2,1,3,0
293,465,Almost an Angel,1990,Fantasy,95,United States,John Cornell,"Paul Hogan, Elias Koteas, Linda Kozlowski, Charlton Heston, Doreen Lang, Douglas Seale, Ruth Warshawsky, Parley Baer, Michael Alldredge, David Alan Grier",5.1,4.0,6.0,11,"Fresh out of prison, Terry tries the first bank he meets. Then, in the urge to save a boy from an accident, he is run over. Everything seems like a dream to him, but in reality he dies. The good Lord, however, sends him back to Earth to give him a second chance. After another failed robbery, he decides to devote himself to his neighbor, in the person of a very sick boy and his distraught sister.","Paul ""Crocodile Dundee"" Hogan is the master: executive producer, screenwriter, protagonist. Good for him, so that he can find a place for his wife Linda as well. In the role of God the biblical Charlton Heston.",1,3,0,1,0
295,475,Scarlet Angel,1952,Adventure,81,United States,Sidney Salkow,"Yvonne De Carlo, Rock Hudson, Richard Denning, Henry O'Neill, Whitfield Connor, Bodil Miller, Amanda Blake, Maude Wallace",6.0,6.0,6.0,4,"In a bad place in New Orleans, the commander of a freighter, Frank, saves the enterprising Roxy from jail. The same night she repays him by robbing him and taking flight in the company of Linda, a widow with an infant, who dies while traveling. Roxy then introduces herself to the little boy's rich grandparents pretending to be the daughter-in-law they had not yet met. Everything seems to go smoothly, but Frank reappears. Modest work by Sidney Salkow, who arrived in Hollywood in the 1930s from a series of Broadway directing. The protagonist is a super star of the moment, the exotic Yvonne De Carlo, to whom Rock Hudson not yet established is only a shoulder.",,1,2,0,1,0
321,510,Neon City,1992,Fantasy,105,United States,Monte Markham,"Michael Ironside, Vanity, Lyle Alzado, Valerie Wildman, Nick Klar, Juliet Landau, Arsenio 'Sonny' Trinidad, Richard Sanders, Monte Markham",6.1,6.0,6.0,7,"The bounty hunter Henry Stark must cross a vast and desolate expanse to reach, together with his prisoner, the city of Neon City. There you will be able to claim the prize. The territory that the two must cross is fraught with danger: attacks by criminal mutants and the presence of a lethal toxic cloud. They are joined by a small group of stragglers and the adventure begins.",It is not difficult to see a distant reference to the adventures of Mad Max: the ruins of a post-technological history of risky nomadism are not exactly a novelty in the cinema. But one can always console oneself by admiring Vanity's graces.,0,2,0,1,0
336,530,Wings of the Apache,1990,Action,86,United States,David Green,"Nicolas Cage, Sean Young, Tommy Lee Jones, Dale Dye, Bryan Kestner, Illana Diamant, Mary Ellen Trainor, J.A. Preston, Peter Onorati, Marshall R. Teague",4.6,4.0,5.0,11,"Jake Preston, a helicopter pilot, is called to be part of a special group, called ""Apache"", dedicated to the fight against the drug trade. After a period of training, Jake is preparing to leave for a surprise assault: but the real surprise is the drug traffickers attacking first and inflicting a heavy defeat on the agents. The rematch, however, is only postponed ...","Nothing to say about Nicolas Cage as a drug agent. Strangely, the authors of ""Top Gun"" have not sued those responsible for this mediocre production for plagiarism. Maybe, just out of laziness.",1,2,0,1,1
345,547,Date with an Angel,1987,Fantasy,105,United States,Tom McLoughlin,"Michael E. Knight, Phoebe Cates, Emmanuelle Béart, David Dukes, Phillip Brock, Albert Macklin, Peter Kowanko, Bibi Besch",3.7,3.0,4.0,11,"An aspiring musician is on the verge of abandoning all ambitions. In fact, he is about to get married and become a business partner of his future father-in-law. To promise him salvation from this prosaic and frustrating prospect, a real angel with broken wings appears who, for this reason, has fallen into the young man's existence during his bachelor party. Fantasy comedy without art or part, despite the cast not entirely despicable: in particular, we refer to the presence of the good and beautiful Emmanuelle Béart (""A heart in winter"", ""The grumpy beauty""), evidently a young prey of promise Americans which, fortunately, she then escaped.",,1,2,0,1,0
351,557,The Eagle,1925,Adventure,60,United States,Clarence Brown,"Rodolfo Valentino, Vilma Banky, Louise Dresser, Albert Conti, James A. Marcus, George Nichols, Carrie Clark Ward",7.3,7.0,8.0,12,"From a story by Pushkin, one of the great love and action films, bordering on melodrama, by Rudolph Valentino. There is a remake of Riccardo Freda in 1946.",,0,0,0,0,0
373,584,Gun Glory,1957,Western,89,United States,Roy Rowland,"Stewart Granger, Rhonda Fleming, Steve Rowland, James Gregory, Chill Wills, Jacques Aubuchon, Arch Johnson",4.7,4.0,5.0,17,"Early, an infallible gunslinger, returns to his hometown after a few years of absence. Nobody finds him very nice, except the village shepherd and the beautiful Jane, the grocery store clerk. However, when a cattle trader threatens to pass through the area with his herd, destroying all the crops, he will be the one to defend his fellow citizens and save the crops. Westerner less than a lesser director. Roy Rowland worked extensively for MGM, before directing ""Arrivederci Roma"" with Rascel and some western spaghetti. However, he had the good fortune to work with rather famous actors such as Stewart Granger and Rondha Fleming.",,0,2,0,1,0
374,586,Lethal Weapon,1987,Action,106,United States,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan, Tom Atkins, Darlene Love, Traci Wolfe, Jackie Swanson, Damon Hines, Ebonie Smith",7.2,7.11,7.0,222,"Martin Riggs is a policeman who has been nicknamed ""Lethal Weapon"" for his tough but effective ways. He is a veteran from Vietnam and has lost his beloved wife. His superiors flank him with black sergeant Roger Murtaugh, who is retired and reluctant to use weapons. Little by little, a frank camaraderie builds up between the two as they investigate a gang of drug traffickers ...","Perhaps the novelty of this film is that of having put two such different characters side by side, managing to make them get along. In addition, while remaining within the genre tracks, it broadens them with an ironic spectacle of violence.",1,3,0,3,0
375,587,Lethal Weapon 2,1989,Action,114,United States,Richard Donner,"Mel Gibson, Danny Glover, Joss Ackland, Patsy Kensit, Joe Pesci, Derrick O'Connor, Darlene Love, Traci Wolfe, Steve Kahan",6.8,6.75,7.0,166,"In Los Angeles, the team of detectives formed by the ""splashy"" white Martin Riggs and the ""wise"" black Roger Murtaugh are tasked with protecting Leo Getz, the accountant of a drug dealer organization. But the gang that wants Leo's head has very high hooks, right down to a South African ambassador. Thus, Martin meets an embassy employee, the beautiful Rika van den Haas, with whom he has an intense love affair.","Humor and shootings confirm the main ingredients of the series, well mixed here. The choice of a South African villain arouses curiosity:? It was 1989 and with the Cold War officially over, American cinema was looking for new villains.",2,3,1,3,1
376,588,Dark Angel,1990,Action,91,United States,Craig R. Baxley,"Dolph Lundgren, Brian Benben, Betsy Brantley, Matthias Hues, Jay Bilas, Jim Haynie, David Ackroyd, Sherman Howard, Sam Anderson",5.3,5.0,6.0,27,"As he is about to get his hands on drug kingpin Manning, policeman Jack Caine is distracted by a robbery: his colleague is killed, Manning escapes, his accomplices are eliminated by Talec, an alien trafficker. In addition to the fearsome extraterrestrials, Caine also has to contend with his superiors, determined to cover up the investigation for unclean purposes.","In the wake of ""Alien Nation"" and ""The Alien"", this film also sees terrestrial cops and alien criminals confront each other. The science fiction side, however, is the one that denounces the major weaknesses of the script, repetitiveness of the shooting and naivety of special effects.",0,2,0,2,0
386,604,Comes a Horseman,1978,Western,120,United States,Alan J. Pakula,"Jane Fonda, James Caan, Jason Robards, Richard Farnsworth, George Grizzard, Jim Davis, Mark Harmon, Macon McCalman, Basil Hoffman",6.8,6.91,7.0,37,"Ella Connors, who inherited a farm and pasture land from her father, rejects the purchase proposals of Erwin, the tyrant of the area. Having sold part of the pastures to two veteran cowboys, it is against them that Erwin sends his assassins. But Frank, one of the cowboys, survives and his help will be instrumental in Ella's fight against the despotic and criminal landowner.","The temporal collocation of the story is interesting (it later took place, however, in a fairly predictable way) in the second half of the 1940s, with the war against the villains of the house after that against the enemies of the homeland. The environment is optimally enhanced.",0,2,1,2,0
396,617,"Arise, My Love",1940,Adventure,118,United States,Mitchell Leisen,"Claudette Colbert, Ray Milland, Dennis O'Keefe, Walter Abel, Dick Purcell, George Zucco, Frank Puglia, Esther Dale",7.0,7.0,7.0,5,"Tom Martin has enlisted as a volunteer among the troops fighting against Franco in Spain. Captured, he is sentenced to death but is saved by the intervention of Christine, a war correspondent who pretends to be his wife and gets pardon. Discovered, the two flee to France and here they divide again: the war has in fact broken out and Tom enlists as a volunteer while Christine resumes her journalist activity. They will reunite when Tom is wounded and Christine gives up the front for good. War comedy with clear propaganda intent, dramatic moments and lots of funny interludes.",,2,2,0,1,0
400,626,Tiger Claws,1991,Action,88,United States,Kelly McMakin,"Cynthia Rothrock, Jalal Merhi, Bolo Yeung, Ho Chow, Mo Chow, Robert Nolan, Kedar Brown, David Stevenson",5.5,4.0,7.0,3,"Detective Linda Masterson is put in charge of the investigation into the murder of a rock star. What helps make the case singular is that the killer also disfigured his victim's face. From that moment other murders, all with the same characteristics, follow one another. Linda, aided by investigator Tarek Richards, senses that the killer uses an ancient martial art known as ""Tiger claws"". Straight from the bottom of the barrel, scraped with painstaking care, comes this other film with Cynthia Rothrock, warlike heroine of martial arts films. After China O'Brien and China O'Brien II they certainly did not miss them.",,0,0,0,0,0
409,637,Wyoming Mail,1950,Adventure,87,United States,Reginald Le Borg,"Stephen McNally, Alexis Smith, Howard Da Silva, Ed Begley, Dan Riss, Roy Roberts, Armando Silvestre, Whit Bissell",6.0,6.0,6.0,4,"To unmask a gang specializing in train robberies, Steve gets put in jail and gets in touch with the criminal organization that he will then be able to vanquish with the help of a beautiful ""repentant"".",,0,0,0,0,0
410,638,Assassination,1986,Action,89,United States,Peter R. Hunt,"Charles Bronson, Jill Ireland, Stephen Elliott, Jan Gan Boyd, Randy Brooks, James Lemp, Michael Ansara, James Staley, Kathryn Leigh Scott",4.8,5.0,5.0,18,"The wife of the new president of the United States is assigned a pair of surveillance officers. They struggle to make her understand the risks associated with her new public position. After a series of small incidents, the actual attacks arrive. Finally the woman realizes the situation, while her ""guardian angel"" manages to eliminate a killer.","Peter Hunt is a director with a remarkable sense of action. His is ""Wild Hunt"" with Marvin and Bronson, but this time the operation is more sluggish. Bronson is starting to have a few extra pounds.",0,3,0,1,0
417,662,The Stone Killer,1973,Action,95,United States,Michael Winner,"Charles Bronson, Martin Balsam, David Sheiner, Norman Fell, Jack Colvin, Paul Koslo, Stuart Margolin, Ralph Waite, Alfred Ryder",6.1,6.33,6.0,24,"Forty years after the massacre that destroyed his family, the boss Don Alberto wants to take revenge and take control of the Cosa Nostra by exterminating its ""dome"" ...","Unequal film, but all in all passionate about the action that is unleashed without a moment's respite.",1,2,1,2,0
431,685,Gog,1954,Fantasy,80,United States,Herbert L. Strock,"Richard Egan, Constance Dowling, Herbert Marshall, John Wengraf, Philip Van Zandt, Valerie Vernon, Stephen Roberts, Byron Kane, David Alpert",5.8,6.0,6.0,7,"In a secret laboratory, some American scientists are studying the possibility of building a space base. One of them is found killed. Detective Shepard arrives from Washington and begins the investigation, while the deaths unfold. As if that weren't enough, two robots are also starting to have a tantrum. 1950s science fiction: normal routine for a B movie without infamy and without praise.",,0,0,0,0,0
