,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
26647,51967,Dead Man Down,2013,Action,110,United States,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper, Isabelle Huppert, Armand Assante, F. Murray Abraham, Luis Da Silva Jr., James Biberi, John Cenatiempo, Robert Vataj, Roy James Wilson, Andrew Stewart-Jones",5.4,5.1,6.0,77,"Victor (Colin Farrell), former Hungarian elite soldier, desires more than anything else to avenge with the help of his friend Gregor (F. Murray Abraham) the death of his wife and daughter, caused by Alphonse (Terrence Howard), the powerful New York boss of which he is the right hand man. As someone else is trying to kill his boss, Victor begins to investigate the identity of the killer but is fascinated and seduced by Beatrice (Noomi Rapace), a young woman who has turned from victim to avenger and has just moved in with her mother (Isabelle Huppert) in the building opposite him. Their destined encounter, whose intensity is heightened by a common desire for revenge, will lead them to a dangerous and cathartic spiral of violence.","The Taste of Revenge, the first work on American soil by the Danish Niels Arden Oplev (Men who hate women), has an “old European” look that pervades many sequences. Between Albanians, French and Hungarians it seems Games without Borders, except that stereotypes dominate. Apart from an apt scene (that of the ""trap"" in the empty apartment), you can navigate on sight between acting as a suburban amateur drama (which does not benefit from Italian dubbing) and a cast bordering on trash. Maybe, who knows, we'll reassess it in ten years.",0,3,0,2,1
8490,13206,Desperado,1995,Action,106,United States,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Quentin Tarantino, Joaquim De Almeida, Steve Buscemi",6.3,6.2,6.0,135,"The mariachi is a somewhat peculiar gunslinger who goes around with guns and guitar and clashes with an infamous criminal linked to Mexican drug bosses, Bucho. With the help of his best friend and an attractive girl, he manages to emerge victorious from the fight. Creating his own handful of ""desperados"" and leaving behind a trail of bullets and blood.","After ""El Mariachi"" in 1992, shot by Rodriguez with little money and a lot of inventiveness, in 1995 comes ""Desperado"", which, however, is a remake more than a sequel: with a more substantial budget, brighter colors, more famous actors; but also, unfortunately, a much more obvious trend. Have fun, drag, but it's already seen stuff.",2,3,2,2,0
48,104,Mail Order Bride,1963,Western,90,United States,Burt Kennedy,"Buddy Ebsen, Keir Dullea, Warren Oates, Marie Windsor, Lois Nettleton, Barbara Luna",6.2,6.0,6.0,14,"Restless and rebellious, Lee Karey is entrusted by his father to former Sheriff Will Lane to be ""put in line"". The boy in fact proves to be absolutely ""allergic"" to any form of authority. After careful consideration, Lane decides that the best cure is to get him a wife. He then summons Annie Boley, a young widow with a child. Not happy Lane establishes a strict clause: only after the marriage Lee will be able to take possession of the paternal ranch. The only problem is that, little by little, the two end up falling in love seriously.","A western tinged with comedy, according to conventional ways that still keep it at decent levels.",1,2,0,1,0
2941,4466,World in his Arms,1952,Adventure,104,United States,Raoul Walsh,"Gregory Peck, Ann Blyth, Anthony Quinn",6.7,6.5,7.0,23,"In 1850, Captain Jonathan Clark fell in love with the Russian Duchess Marina. The noblewoman, however, has numerous suitors including Prince Simeon, to whom his uncle has promised the hand of the young woman. And who is the uncle to be able to make such a promise? None other than the Tsar himself! Will Jonathan and Marina therefore have to give up their love? It is not certain, if the usual palace conspiracy sees Simeone in the front row ...","Raoul Walsh shows off his craft to tell a ""sentimental"" adventure story. Technicolor triumphs in pure Hollywood style. Also known as ""The Bostonian"".",1,3,1,2,0
21886,39605,Species III,2004,Horror,111,United States,Brad Turner,"Sunny Mabrey, Robin Dunne, Robert Knepper, Natasha Henstridge",4.8,4.0,6.0,16,"Believed dead, Eve is transported in a military ambulance. During the journey, before being killed by a hybrid, she gives birth to a girl who is kidnapped by Doctor Abbot. In a couple of days the baby girl grows to adulthood, becoming a gorgeous young woman named Sara. Abbot would like to develop perfect DNA using Sara's eggs and, thanks to this discovery, win the Nobel Prize. He summons one of his students, Dean, to assist him in the experiment. But while Sara fails to find the right man to mate with to give birth to the perfect being, a group of fallacious and evil alien hybrids go to great lengths to reproduce with her and make their species survive.",,0,2,0,1,1
10147,15937,The Spikes Gang,1974,Western,97,United States,Richard Fleischer,"Lee Marvin, Gary Grimes, Ron Howard, Charlie Martin",5.7,4.75,7.0,15,"Three cowboys, influenced by Henry Spikes, decide to follow him to try their luck. After the first failed shots, the bandits die one after the other. Only Henry is saved at first, but in a firefight he is wounded and falls along the railroad tracks.",,0,2,0,1,0
36641,181031,Rattlesnake,2019,Horror,85,United States,Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell, Richard Lippert, David Yow, Joy Jacobson, Arianna Ortiz, Stephanie Hill, Catherine Haun, Sean Dillingham",4.5,4.0,5.0,18,"Single mom Katrina decides to leave with her young daughter to start a new life, but she is stranded with the car in the middle of nowhere. As the woman changes the rubber, Clara sets out into the desert and is bitten by a poisonous rattlesnake. Desperate to save her daughter, Katrina accepts the help of a mysterious woman but, after she miraculously heals Clara, she is asked to repay the good deed by killing a stranger in exchange for the saved life. Time is running out and before her daughter's life is put in danger again at sunset, Katrina is faced with a moral dilemma: who deserves to live and who to die?",,0,0,0,0,0
4442,6815,Cahill U. S. Marshal,1973,Western,103,United States,Andrew V. McLaglen,"John Wayne, Gary Grimes, Neville Brand, George Kennedy",5.4,5.33,6.0,41,"A gruff, trigger-happy lawmaker neglects his family and teenage children, too engrossed in his duty. The boys thus become involuntary accomplices of a gang of outlaws who attack the country's bank. Innocent, they soon end up in prison and risk the gallows, but the sheriff identifies the real culprits. Before arresting them, however, he waits for his boys to understand the mistake made.","Tailor-made for a stunned Wayne, the film offers a heavy moral at the expense of action.",1,3,1,3,0
28333,60529,Lost River,2014,Fantasy,95,United States,Ryan Gosling,"Christina Hendricks, Saoirse Ronan, Iain De Caestecker, Matt Smith, Reda Kateb, Barbara Steele, Eva Mendes, Ben Mendelsohn, Rob Zabrecky",5.1,5.22,5.0,52,"Against the dreamlike and surreal backdrop of a city on the verge of disappearing, Billy (Christina Hendricks), single mother of two, falls victim to a universe of macabre and dark fantasy while Bones, the 18-year-old son, discovers a secret road that leads to an underwater village. Both Billy and Bones will have to dive into the depths of mystery if they are to ensure their family's survival.",,0,2,2,2,1
11582,18419,Ride a Crooked Trail,1959,Western,87,United States,Jessie Hibbs,"Walter Matthau, Audie Murphy, Gia Scala",5.7,6.0,5.0,13,"Joe Maybe, an outlaw, arrives in the town of Little Rock posing as a defender of the law. Its real target, however, is the local bank. After getting hired as a sheriff's assistant, Joe meets Tessa, a Creole girl who knows her true identity, but manages to convince her not to betray him. In return, he will pretend to be her husband. Ruining his plans is the arrival in town of Teeler, a bandit who wants to rob his own bank.","A western like many others, packaged with a certain care and well interpreted. Matthau was not yet cast as a brilliant actor.",0,2,0,2,0
4228,6481,For Heaven's Sake,1950,Fantasy,92,United States,George Seaton,"Clifton Webb, Joan Bennett, Robert Cummings, Edmund Gwenn",6.0,8.0,4.0,3,"Jeff Bolton, theater director, and his wife Lydia, actress, still have no children after eight years of marriage; so Item, pure spirit, is waiting to incarnate in their designated daughter. Two angels, Carlo and Arturo, are sent to earth to make the Boltons decide. Carlo gets into trouble, but Item intercedes for him and so things get better.","Specialist Setaon, with a good storyline, a brilliant script and suitable actors, made a very enjoyable fantastic comedy.",2,3,0,1,0
8266,12899,Super Mario Bros,1993,Adventure,104,United States,"Rocky Morton, Annabel Jankel","Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis",4.0,3.29,5.0,60,"Millions of years ago the fall of a meteorite opened a chasm, in which lives a world parallel to ours, where New York is now. A young paleontologist tries to stop a building speculation in order to continue digging under Manhattan. But, over there, there is the tyrant King Koopa, and it is against him that the plumber Mario Mario and his brother Luigi Mario fight.","For the transition from video games to cinema Super Mario was gifted with a brother. Despite the technical skill and the amount of citations from video games, the film remains a disarming obviousness. Dennis Hopper is, of course, the villain.",2,2,0,1,0
26509,51323,Dark Angel,2000,Action,90,United States,James Cameron,"Jessica Alba, Michael Weatherly, Richard Gunn, J.C. MacKenzie, Valarie Rae Miller, John Savage, Jensen Ackles, Alimi Ballard, Martin Cummins, Kevin Durand",6.1,5.67,7.0,9,"2019. Genetically engineered humans are engineered in a secret government laboratory to form perfect soldiers. However, not everything will go as planned and a rebellion will lead to unfortunate and unexpected consequences.","Pilot episode directed by James Cameron creator, author of the screenplay and productions of the series which lasted from 2000 to 2002.",0,0,0,0,0
30035,71149,Operation Rogue,2014,Action,85,United States,Brian Clyde,"Mark Dacascos, Treat Williams, Sofia Pernas, Billy Campbell, Nicco Manalo, Chris Elassad, Henry Strzalkowski, Joe Suba, Bon Vibar, Jeremy Ian",2.9,3.0,3.0,5,"Deep in the jungle of Southeast Asia, a terrorist organization has stolen material to create a dangerous chemical bomb. It is up to Captain Max Randall and the team of marines to stop the criminals but, when the military kills the son of the enemy leader, the terrorists respond by kidnapping General Wallace's daughter.",,0,2,0,2,0
13680,22051,Martin,1978,Horror,85,United States,George A. Romero,"John Amplas, Lincoln Maazel, Elayne Nadeau, Christine Forrest",7.2,6.83,7.0,83,"Martin joins his cousin Tata Cuda's family in a small town near Pittsburgh. During the train ride he bleeds and kills a girl. Tata welcomes him coldly: he is convinced that his nephew is a vampire. Martin indirectly seeks help, but the desire to kill is stronger than him. Meanwhile, the uncle gears up to kill the alleged nosferatu.","Great film from the director of ""Night of the Living Dead"". Unfortunately, this is the Italian version, with the fake music of the Goblins and a different montage. The fascination of an apparently horror story remains, demonstrating how real monsters kill with the weapon of prejudice.",0,3,1,3,1
9556,14941,Twister,1996,Action,100,United States,Jan De Bont,"Helen Hunt, Bill Paxton, Jami Gertz, Cary Elwes, Lois Smith",5.5,5.27,6.0,137,"Jo Harding, as a child, saw her father die being sucked into a whirlwind. Some time has passed and the girl, who has meanwhile become a tornado scholar, continues her fight against the force of nature and against her husband who pursues her to get her to sign the divorce papers. Soon, however, Jo gets involved by the man to place in the heart of a tornado of exceptional size a special machine that, in homage to the ""Wizard of Oz"", is called Dorothy.","The first part of ""Twister"" is boring, even for lovers of the catastrophic: about 45 minutes of descriptions of clear characters from the beginning, of sentimental bickering with an obvious outcome, of car races, to get to the core, that is the heart of the tornado. But when he gets there, Jan Da Bont doesn't deny the fame he has earned with ""Speed"" and, in the second part, he doesn't give himself a moment's respite.",1,3,0,2,0
25565,47117,The Violent Kind,2010,Horror,85,United States,"Mitchell Altieri, Phil Flores","Cory Knauf, Taylor Cole, Bret Roberts, Christina McDowell, Tiffany Shepis, Nick Tagas, Joe Egender, Joseph McKelheer, Samuel Child, MacKenzie Firgens",3.6,4.0,3.0,11,"During a gathering of bickers in a wood, a girl appears possessed by a mysterious force. Meanwhile, a strange rockabilly band arrives and kidnaps them.","The film is lost between sudden changes of register, citations of _La Casa_ by Raimi and Tarantino, without having the inventiveness or the means.",0,0,0,0,0
27701,56842,Cobra Woman,1944,Adventure,71,United States,Robert Siodmak,"Maria Montez, Jon Hall, Sabu, Lon Chaney jr., Edgar Barrier, Mary Nash, Lois Collier, Samuel S. Hinds, Moroni Olsen",6.5,6.5,7.0,8,"Tollea (Maria Montez) is unaware of her origins nor is she able to explain the two signs, similar to the bite of a snake, which she has imprinted on her wrist. Just on the eve of her wedding with Ramu (Jon Hall) she is kidnapped by a mysterious individual (Lon Chaney, Jr.) from the island of Harbor, where she lives with her father MacDonald (Moroni Olsen). He reveals that the young woman belongs to the Cobra people, where he managed years earlier, without knowing how, to miraculously escape the death sentence inflicted on the intruders, finding himself alone on a boat in the company of a very small girl, who later raised as a daughter. Ramu decides to reach the island, secretly followed by his young friend Kado (Sabu). Meanwhile Tollea has learned the truth about her origins from her grandmother (Mary Nash), the queen of the island, now tyrannized by the high priestess Naja, twin sister of Tollea, who holds her people in her hands by scaring them with the cult of the cobra and the help from the evil legislator Martok (Edgar Barrier). The sovereign's plan is to remove her from office, to entrust her to Tollea.","A film with splendid colors, which sees Maria Montez engaged in a double role.",0,0,0,0,0
9067,14156,Face to Face,1952,Adventure,89,United States,"John Brahm, Bretaigne Windust","James Mason, Gene Lockhart, Robert Preston, Marjorie Steele",6.8,6.0,8.0,3,"Two-episode film. In ""Mysterious Passenger"" (from Conrad) the commander of a British vessel in the Pacific waters rescues a young officer from another ship. In ""Pistol Shots"" (by Stephen Crane) a drunkard has a habit of shooting in the city; the sheriff, unarmed, heals him. A very curious double adaptation. In the first episode, Mason's atmosphere and interpretation are enjoyable; in the second the rhythm and the picaresque tone.",,0,2,0,2,0
24900,45235,Killing Them Softly,2012,Action,100,United States,Andrew Dominik,"Brad Pitt, Ray Liotta, Garret Dillahunt, James Gandolfini, Richard Jenkins, Sam Shepard, Bella Heathcote, Max Casella, Scoot McNairy, Ben Mendelsohn",6.4,6.56,6.0,173,"Jackie Cogan (Brad Pitt), a professional thug with an icy gaze and a rude and violent manner, is hired by the mafia to investigate a robbery carried out during a secret poker game, organized by the slimy Mark Trattman (Ray Liotta), to which was attended only by the most important names of the underworld. His task will be to find the perpetrators of the theft and return the money to the criminal association but to complete it he will have to leave behind a long trail of blood.","Everything is saturated, frontal, cheeky in Cogan. Killing Them Softly, an intricate noir ordinance story. Ray Liotta makes the minor cast of himself; a dose of heroin unleashes the Velvet Underground's automatic Heroin; lysergic hallucinations are those optical deformations with which the cinema of the 70s exhausted us; the slowdowns that aestheticize violence are the graphic exasperation of what Hong Kong and Hollywood have been offering us for 30 years; the allegory of crime and economic policy, gambling and financial speculation is repeated to exhaustion, as if it were a punctuation mark. Dominik (like Coppola's last, misunderstood youth) does not look at reality, but at its usual forms of representation, at the symbols in which it is realized, at the metaphors with which he tries to explain himself.",2,2,2,3,1
3682,5640,Forty Guns,1957,Western,80,United States,Samuel Fuller,"Barbara Stanwyck, Barry Sullivan, Dean Jagger, John Ericson, Gene Barry",7.8,7.86,8.0,45,"A strong-willed landowner (Barbara Stanwyck) has bribed an assistant sheriff and rules Tombstone with her forty bravadoes. A federal agent (Barry Sullivan) goes to the scene to restore law and order. Samuel Fuller confirms himself as a robust innovator by breaking up many stereotypes of cinematic storytelling, not just westerns. The formal combination of daring sequence-shots and lightning-fast dramatic solutions is remarkable, while the screenplay (signed by the director himself) overturns the canonical balance of power between the sexes. The happy ending, as happened on other occasions, however, was imposed on Fuller by the production.",,0,0,0,0,0
35455,163595,F6 Twister,2012,Action,86,United States,Peter Sullivan,"Casper Van Dien, Richard Burgi, Victoria Pratt, Haley Lu Richardson, Dmitri Schuyler-Linch, Steven Williams, Kassandra Clementi, Christina DeRosa, Michael C. Mahon, Scott Thomas Reynolds",5.1,,5.0,8,"In a small town in Texas, during the holiday season, Ethan Walker works as a meteorologist and professor at the university when in the middle of a night he is awakened by a tornado: the laboratory has to show up to take stock of the situation. His wife Addison, a TV reporter, is also called for a tornado report for the morning news. Ethan soon realizes that the weather is ripe for more tornadoes ...",,0,0,0,0,0
7673,11968,Young Guns II,1990,Western,103,United States,Geoff Murphy,"Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, James Coburn, Christian Slater",4.5,4.0,5.0,18,"1950, New Mexico desert: a law firm reporter runs into a very old man who claims to be Billy the Kid, the boy everyone believes was killed by Pat Garrett years ago. To convince him, the octogenarian begins to tell his story: the conflict with Governor Lee Wallace, the clash with the landowner John Chisum, and so on ...","Modest sequel to _Young Guns_ (which was not already essential), designed and created to grab a young audience. After all, a certain Sam Peckinpah had already told us something about the story of Billy the Kid. Definitely, of course.",0,2,0,2,0
6069,9427,Gladiator,1992,Action,99,United States,Rowdy Herrington,"James Marshall, Cuba Gooding jr., Brian Dennehy, Cara Bono",4.5,2.0,7.0,7,"Tommy Riley (Marshall), who has recently moved to a seedy neighborhood, finds himself grappling with a reality of youthful violence completely unknown to him. A former high school boxing champion, he is spotted during a street fist fight by an organizer of illegal boxing matches. To pay off the debts of his father, a gambler and alcoholic, Tommy accepts. Film of good feelings, starring one of the actors of Twin Peaks. Not exciting.",,0,0,0,2,0
25361,46307,Turbulent Skies,2010,Action,82,United States,Fred Olen Ray,"Casper Van Dien, Brad Dourif, Nicole Eggert, Patrick Muldoon, Ted Monte, Mark Enticknap, Gerald Webb, Toni Adair, Teresa Barbosa, Cal Bartlett",3.0,2.0,4.0,11,"After a plane crash caused by human error, a new software designed by Tom Woodard (Casper Van Dien) allows automation of the controls and is installed on a 747. During the first test drive, wanted by the arrogant son of the owner of the company and hosting potential investors on board, a computer virus attacks the system sending the plane off course. Unable to stop its mad flight, to avoid a massacre the US government decides to shoot down the aircraft but Tom, worried about his wife, sitting among the passengers, tries to get on board and take back the controls.",,0,2,0,1,0
4006,6137,Blood on the Moon,1948,Western,87,United States,Robert Wise,"Robert Mitchum, Robert Preston, Barbara Bel Geddes, Walter Brennan",7.3,7.5,7.0,54,"To force John Lufton to sell him the cattle for little money, Tate Rilling hires the gunslinger Jim Garry, but he, realizing that the matter is shady, fights for Lufton. Wise constructs an original western about the ranchers-farmers conflict with many erotic and ambiguous solicitations, from noir (Mitchum, photography by Micholas Musuraca).",,1,3,1,2,1
