,filmtv_id,title,year,genre,duration,country,directors,actors,avg_vote,critics_vote,public_vote,total_votes,description,notes,humor,rhythm,effort,tension,erotism
13649,22007,A Knight's Tale,2001,Adventure,132,United States,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon, Alan Tudyk",5.5,5.22,6.0,123,Squire William would like to take a step forward and become a knight. The opportunity presents itself to him when he accidentally meets a man who in exchange for clothes and food gives him documents that can make him pass as a noble. So on the death of the knight he serves William takes his place and fights in the tournament for the beautiful Jocelyn.,"Armor, knightly tournaments, court banquets, courtly love with various licenses, heirs to the throne, a talented writer, Chaucer, ruined by a passion for the game and noble girls. It would seem the return of a vein, but no one has more faith in the adventure with helmet and armor. The European challenge tour is the romance of old rodeo and the pragmatism of the tennis circus. Brian Helgeland, screenwriter of ""LA Confidential"" and dull director of ""Payback"" and ""Conspiracy Hypothesis"" for his excursion into the Middle Ages is accompanied by a pressing soundtrack (among others, Queen, Eric Clapton and AC / DC) without having the courage or the imagination to twist the plot towards a pop-rock musical, he manipulates, in some scenes, the make-up and costumes as if he wanted to take the characters to the disco and stops at the door. A series of indecisions that are reflected in the unmotivated 132 minutes of a film in which the strong moments (the tournaments) weaken in the repetition of images and the clash of weapons.",1,2,0,1,1
5029,7707,The Terror,1963,Horror,81,United States,Roger Corman,"Boris Karloff, Jack Nicholson, Sandra Knight, Dick Miller",6.6,7.0,6.0,39,"The French officer André Duvalier meets a mysterious woman whom he then recognizes in the portrait of Baron von Leppe's wife, who, however, should have been dead for many years. Duvalier learns that she was murdered by the baron: what he saw is a simulacrum resulting from a curse ...","In the wake of the series inspired by the stories of Edgar Allan Poe, Corman insists on the gothic atmosphere of cursed castles, where intricate family curses roam. Old glory Boris Karloff plays Baron von Leppe; among the assistant directors is a young man who will go a long way: Francis Ford Coppola.",1,2,1,4,1
37273,193470,Time Trap,2018,Fantasy,87,United States,"Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Sabin Smith, Rich Skidmore, Chris Sturgeon, Hans Marrero",5.4,,5.0,16,An archeology professor disappears after entering a cave. Some of his students go after him and discover a cave where time flows differently than the surface.,,0,0,0,0,0
9955,15608,One Tough Bastard,1995,Action,100,United States,Kurt Wimmer,"Brian Bosworth, Bruce Payne, DeJuan Guy, Jeff Kober, Lawrence Lowe",5.3,6.0,5.0,4,"John North is a Marine officer whose family is slaughtered by a gang of arms traffickers in a drugstore. Recovering from the shock, he tries in vain to track down the killers, but the FBI makes him understand that his interest is not appreciated. In fact, behind the whole story, there is the hand of Karl Savak, a corrupt federal agent, who is trying to recover a shipment of high-tech weapons he promised to a drug dealer in Los Angeles.","According to Lance Henriksen, the man who called John Woo a poet, Brian Bosworth is a kind of John Wayne of our time and we won't blame him.",0,2,0,2,0
3568,5456,The Omen,1976,Horror,111,United States,Richard Donner,"Gregory Peck, Lee Remick, David Warner, Billie Whitelaw, Harry Stevens",7.1,6.8,7.0,124,"He discovers that his adopted son is the antichrist, and tries to suppress him. There is show, but little originality. A truly remarkable suspense, excellent actors and a dull and suggestive photography. The film had three sequels, the first of which was The Curse of Damien.",,0,2,1,4,0
15343,24859,Prince Charming,2001,Fantasy,86,United States,Allan Arkush,"Sean Maguire, Martin Short, Michael Boisvert, Christina Applegate, Billy Connolly, Bernadette Peters",6.3,6.0,7.0,8,"An extra-marital escapade of Prince John costs dear both to him and to his usual companion in adventure: the two find themselves transformed into as many frogs, and so they will have to remain for eternity. Unless a girl agrees to first kiss and then marry the unfortunate prince-batrach ...",,1,2,0,0,0
24704,44866,Dead Birds,2004,Horror,91,United States,Alex Turner,"Henry Thomas, Patrick Fugit, Nicki Aycox, Michael Shannon, Muse Watson, Mark Boone Junior, Isaiah Washington, Harris Mann, Melanie Abramoff, Donna Biscoe",4.8,4.0,6.0,7,"William leads a handful of desertering soldiers who have just robbed a bank. On the run with the loot, the gang finds refuge near a plantation on the border with Mexico, in an uninhabited house. During the night, men will discover that they are not alone and that they have to save their lives, threatened by disturbing presences.",,0,2,0,2,0
37396,195222,Spell,2020,Horror,91,United States,Mark Tonderai,"Omari Hardwick, Loretta Devine, Lorraine Burroughs, John Beasley, Andre Jacobs, Tumisho Masha, Peter Butler, Ri-Karlo Handy, Hannah Gonera, Kalifa Burton",6.1,6.5,6.0,11,"Marquis is flying with his family to go to his father's funeral in the Appalachian countryside. A very strong storm causes the plane to lose control and crash. Marquis wakes up injured and trapped in the attic of Mrs. Eloise, a woman who claims she can cure him with a hoodoo ritual. Unable to call for help, Marquis will desperately try to outsmart the woman and free himself from her magic in order to save the family from a sinister ritual.",,0,0,0,0,0
15576,25266,Return of Jedi,1983,Fantasy,136,United States,Richard Marquand,"Harrison Ford, Mark Hamill, Carrie Fisher, Billy Dee Williams",7.9,7.67,8.0,73,"Luke Skywalker and Ian Solo are preparing for the final battle against the Empire but Luke has learned that the terrible Darth Vader, the greatest enemy of the rioters, is in fact his father. The insurrection is unsuccessful and Luke is captured by the emperor's troops, who tries to bring the young man to his side.","Third (or rather sixth) and last episode of the saga conceived by George Lucas. For the twentieth anniversary, the entire trilogy has been restored and digitally remastered with the addition of unreleased sequences. In this case, a fun ballet in the palace of Jabba the Hut, new images of the ""creature"" of the sand and a finale full of scenes of the celebrations for the victory over the Empire.",2,4,0,4,1
526,834,Ten Wanted Men,1955,Western,80,United States,H. Bruce Humberstone,"Randolph Scott, Jocelyn Brando, Richard Boone, Alfonso Bedoya, Donna Martell, Skip Homeier, Clem Bevans, Leo Gordon, Minor Watson, Lester Matthews, Tom Powers, Dennis Weaver, Lee Van Cleef",6.0,6.0,6.0,9,"In the town of Okatiglia, the rivalry between the Stewarts and the Campbells flares up. When Adam Campbell is killed, his son Albert seeks revenge. Not very bad, despite the obviousness of the plot.",,0,2,0,2,0
22358,40384,Empire ,2002,Action,90,United States,Franc. Reyes,"John Leguizamo, Peter Sarsgaard, Denise Richards, Vincent Laresca, Isabella Rossellini, Sonia Braga, Delilah Cotto, Nestor Serrano, Anthony 'Treach' Criss, Rafael Báez",4.0,4.0,4.0,5,"Victor Rosa is a Latin American gangster with the ambitions of a young ""godfather"" and the violent ways of the man of the street. But his life of excesses comes to a halt when his girlfriend announces that she is pregnant: perhaps the time has come to settle down, but leaving the ""family"" is more difficult than expected. Vic believes he finds a way out when he meets Jack, an enterprising Wall Street broker who could help him quadruple the clan's profits in just six months ...","The plot is classic, but the characters are sketchy, the script is chaotic, and the film doesn't fly any higher than usual punches-and-guns.",0,2,0,1,0
34105,147047,Escapee,2011,Horror,98,United States,Campion Murphy,"Dominic Purcell, Christine Evangelista, Melissa Ordway, Danny Nucci, Scott Elrod, Kadeem Hardison, Carly Chaikin, Justin Gaston, David Jensen, Faith Ford",3.0,2.0,4.0,6,"Visiting a local psychiatric hospital with her class, young psychology student Abby Jones is troubled by a close encounter with one of the high-risk patients, Harmon. Back home, she is preparing for an evening of study with her roommates when, during the stormy night that follows, Harmon runs away from the hospital, spreading a trail of death to get closer to her. To warn Abby and her companions of the danger they run is the policeman Carter Thomas.",,0,0,0,0,0
646,1009,Blade Runner,1982,Fantasy,124,United States,Ridley Scott,"Harrison Ford, Sean Young, Rutger Hauer, Daryl Hannah, Edward James Olmos, M. Emmet Walsh, Brion James, William Sanderson, Joe Turkel, Joanna Cassidy",9.0,9.18,9.0,249,"We are in Los Angeles, swarming and immense, in the near future: a former police detective, specializing in the hunting and ""withdrawal"" of rebel replicants, is called back into service to find four, escaped from an extraterrestrial colony. After the mission his life is completely changed. After the success he had with the first ""Alien"", Ridley Scott returns to science fiction, however, mixing it with the noir atmospheres of the forties detective stories. The result is fascinating: for the labyrinthine, suffocating sets, for the rough melancholy of the story, for the superb presence of Harrison Ford. This version of the film is the one desired by the director without the cuts imposed by the production.",,0,3,1,4,1
19597,34680,To Die For,1989,Horror,94,United States,Deran Sarafian,"Brendan Hughes, Amanda Wyss, Scott Jacoby, Steve Bond",6.0,6.0,6.0,4,,,0,0,0,0,0
21287,38549,Satan's Sadists,1969,Action,86,United States,Al Adamson,"Russ Tamblyn, Scott Brady, John 'Bud' Cardos, Robert Dix, Gary Kent, Greydon Clark, Kent Taylor, Regina Carrol, Jacqueline Cole, William Bonner",2.6,2.0,3.0,6,Plot in preparation,,0,0,0,0,0
19227,33457,The Gore Gore Girls,1972,Horror,81,United States,Herschell Gordon Lewis,"Frank Kress, Amy Farrell, Hedda Lubin, Henny Youngman",5.5,,6.0,6,"Detective Abraham Gentry investigates the crimes of some topless bar dancers. After a roundup of imaginative murders, Gentry unmasks the serial killer.",,0,0,0,0,0
8692,13493,Chato's Land,1972,Western,101,United States,Michael Winner,"Charles Bronson, Jack Palance, James Withmore, Richard Basehart",6.5,6.2,7.0,28,"We are in New Mexico, in 1873, a time and a place in which, for a ""half-breed"", killing a white sheriff, albeit in self-defense, means condemning oneself to persecution and flight. This is what happens to Chato (Bronson), half white and half Apache. When the pursuers attack his family, Chato thinks back, decides to face them and takes them down one by one. The Winner-Bronson duo, for once on vacation from the saga of the ""executioner of the night"", moves to the West and builds a film substantially identical to the others. Good craft, a good dose of violence and, thank goodness, a good cast.",,0,2,0,2,0
35031,159585,Wonder Woman 1984,2020,Action,151,United States,Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen, Lilly Aspell",4.8,4.5,5.0,50,"Wonder Woman is faced in 1984 with two entirely new enemies: the super villain Cheetah and Max Lord. Fortunately, he will once again have the handsome driver Steve Trevor at his side.",,0,0,0,0,0
4368,6702,Saddle the Wind,1957,Western,82,United States,Robert Parrish,"Robert Taylor, John Cassavetes, Julie London, Donald Crisp",7.1,7.6,7.0,40,"Tony returns to the farm that his brother Steve has been running in his absence. The two brothers love each other but have a very different character: Tony is bossy at least as much as Steve is reasonable. So the reactions of the two towards the claims of the cowboys are different: Steve is willing to negotiate while Tony confronts them with the gun in his hand. Found guilty of murder, Tony runs away hunted by the sheriff: once joined by a group of men including Steve, he will prefer suicide to capture. It is the character of John Cassavetes (future director and here an excellent actor), to make the difference between this western and the others of the period. Screenplay by Rod Serling, smart and modern.",,0,2,1,2,0
10755,16996,Mimic,1997,Horror,95,United States,Guillermo Del Toro,"Mira Sorvino, Jeremy Northam, Alexander Goodwin, Giancarlo Giannini, Josh Brolin",6.0,6.0,6.0,91,"An old urban legend told of an albino alligator in the sewer and ravines of the New York subway. Exactly what happens, this time seriously, in the subway that is filled with gigantic insects created by a genetic experiment. The responsible is a scientist (Mira Sorvino) who, with a variously assorted ""heroic patrol"" has to fight with the ravenous cockroaches, whose main power is that of mimicry.","If the ""denied"" motherhood of the protagonist (she ""gave birth"" to the beasts in the laboratory and, almost as a retaliation, she cannot have children) makes so much Aliens (but with less intensity), most of the twists are a bit obvious . but the atmosphere works. And then Guillermo Del Toro uses Rob Bottin's sickening monsters to fill the scene.",1,2,1,2,0
36637,180917,VFW,2019,Action,92,United States,Joe Begos,"Stephen Lang, Martin Kove, William Sadler, Sierra McCormick, David Patrick Kelly, Dora Madison, George Wendt, Fred Williamson, Travis Hammer, Tom Williamson",5.5,,6.0,4,"In the near future, a new drug called Hype has turned America into a war zone. Addicts are more mutants than humans. In this context, a group of Vietnam veterans gather to celebrate the birthday of Fred, one of them. That same evening, however, in Boz, the notorious trafficker of their area, a drug consignment is stolen by a woman named Lizard, who takes refuge among her old ex-military companions. Ready for anything to recover his precious Hype, Boz will unleash his army of henchmen.",,0,0,0,0,0
6696,10415,Frontier Rangers,1959,Western,100,United States,Jacques Tourneur,"Keith Larsen, Buddy Ebsen, Don Brunett",6.0,6.5,5.0,15,"Major Rogers, escaping an Indian ambush, identifies a traitor white and has him executed. Then he goes to the camp of the Black Wolf chief and challenges him to a duel. Jacques Tourneur directs a dignified collage of two television episodes. Tourneur did a lot better.",,0,0,0,0,0
5190,7986,Badman's Country,1958,Western,72,United States,Fred F. Sears,"George Montgomery, Buster Crabbe",4.3,4.0,5.0,5,"To fight Butch Cassidy, Sheriff Pat Garret enlists the help of colleagues Wyatt Earp and Bat Masterson, and Buffalo Bill. The famous names of the western are all there. But the western is modest and a bit confusing.",,0,0,0,0,0
25866,49021,Catch .44,2011,Action,108,United States,Aaron Harvey,"Bruce Willis, Forest Whitaker, Nikki Reed, Michael Rosenbaum, Brad Dourif, Deborah Ann Woll, Malin Akerman, Shea Whigham, Edrick Browne, Jimmy Lee Jr., P.J. Marshall",3.7,3.25,4.0,38,"Tes (Malin Akerman), Kara (Nikki Reed) and Dawn (Deborah Ann Woll), three criminals looking for the chance of their life, are hired by the evil Mel (Bruce Willis), an opportunistic drug boss, who entrusts them with a delicate task to complete. Along the way, the three girls face many difficulties caused primarily by a dangerous killer (Forest Whitaker) who moves in the uniform of a policeman killed long ago. To create further problems comes the certainty of having been scammed by Mel: now, however, they can no longer hold back and are somehow forced to carry out their mission.",,1,3,0,2,0
29542,67962,Indigenous,2014,Horror,86,United States,Alastair Orr,"Zachary Soetenga, Lindsey Mckeon, Sofia Pernas, Pierson Fode, Jamie Anderson, Juanxo Villaverde, Laura Penuela, Jaime Newball, Yana Galuz",3.8,3.67,4.0,5,"Five American friends travel to Panama to relax and finally spend some time together. Here, they befriend a local woman and, despite some disturbing rumors, she breaks her brother's instructions and takes the group on a trip to pristine jungle waterfalls. What begins as an innocent hike will take a terrifying turn as friends realize as night approaches that they are being followed by the legendary bloodthirsty chupacabra.",,0,0,0,0,0
12,36,Bowery at Midnight,1942,Horror,62,United States,Wallace Fox,"Bela Lugosi, John Archer, Wanda McKay, Dave O'Brien, Lew Kelly",5.3,5.0,6.0,25,"In the infamous New York neighborhood of Bowery, there is a shelter for destitute people where Professor Brenner also lends his work. He is a teacher from the local college, but he leads a double life: at night, stripping off his respectable professional clothes, he turns into a ruthless killer. He then throws his victims into a basement where a strange zombie people live. But even the ""professor"" will have a bad end.","Defined by critics as shaky, Wallace W. Fox's horror films nevertheless remain the cornerstones of the unrepeatable B movie season. Fox is a master of atmosphere, thanks to a lugubrious Bela Lugosi at the right point.",0,2,1,3,0
32685,127577,End of a Gun,2016,Action,90,United States,Keoni Waxman,"Steven Seagal, Danny Trejo, Alexandre Nguyen, Ovidiu Nicolescu, Claudiu Bleont, Troy Miller, Andrei Ciopec, George Remes, Lavinia Geambasu, Radu Andrei Micu, Florin Piersic Jr., Jade Ewen",3.0,,3.0,7,"Decker, a former federal agent, runs into Lisa but is forced to kill her violent boyfriend to save her. Knowing the risks that Decker has taken, Lisa proposes that he steal the two million euros hidden in her boyfriend's car seized by the police. The money, however, should have been handed over to a dangerous drug lord. To avoid the worst, Decker will find an unlikely ally in a security guard.",,0,0,0,0,0
17876,29804,Dark Command,1940,Western,94,United States,Raoul Walsh,"John Wayne, Claire Trevor, Walter Pidgeon, Roy Rogers, George 'Gabby' Gays",6.9,7.0,7.0,17,"Defeated by Texan cowboy Bob Seton in both the race for the position of sheriff and in the race for the heart of the beautiful Mary McCloud, Will Cantrell gives up the profession of teacher and takes advantage of the outbreak of the Civil War to form a gang of renegades, apparently affiliated with the Southerners but in reality devoted to robberies and raids. Refreshed by the new situation, the rivalry between Cantrell and Seton will end up going on for a long time ...","Despite the cuts imposed by the Republic, which greatly irritated Walsh, the film - based on a novel by W.R. Burnett and inspired by the exploits of the infamous William Quantrill - remains on dignified levels.",0,0,0,0,0
17802,29621,Phantasm,1979,Fantasy,88,United States,Don Coscarelli,"Angus Scrimm, Reggie Bannister, Michael Baldwin, Bill Thornbury",6.4,6.0,7.0,44,,,1,1,1,1,1
34024,146163,Wheelman,2017,Action,82,United States,Jeremy Rush,"Frank Grillo, Garret Dillahunt, Wendy Moniz, Caitlin Carmichael, Slaine, John Cenatiempo, William Xifaras",5.5,5.0,6.0,12,"An experienced criminal escape driver finds himself having to survive after a bank robbery gone horribly wrong. With a car full of money and his family in danger, he knows it's too late to figure out who betrayed him and realizes that the only person he can trust is his 14-year-old daughter.",,1,2,0,2,0
29171,65675,22 Jump Street,2014,Action,112,United States,"Phil Lord, Chris Miller","Channing Tatum, Jonah Hill, Peter Stormare, Wyatt Russell, Amber Stevens, Jillian Bell, Ice Cube, Jimmy Tatro, Nick Offerman, Rob Riggle, Dave Franco, Dax Flame, Johnny Pemberton, Joe Chrest",6.0,6.17,6.0,86,"After returning on an undercover mission to a high school, more big surprises await young officers Schmidt (Jonah Hill) and Jenko (Channing Tatum) when they go undercover at a local college. But when Jenko finds a kindred spirit on the football team and Schmidt infiltrates the bohemian art scene, their partnership begins to be questioned. They will find themselves not only having to solve the new case but also having to figure out which direction to take to their relationship.","Lord & Miller raise their craft to power, making the hyper-aware shooting of models / characters / dynamics a springboard for countless sequels, the ineptitude of the figures put on the field - bodies with a grandiose comic range - is reaffirmed until the emanation in tangible form of the guiding spirit (Seth Rogen). Sequel to 21 Jump Street (2012).",3,3,1,1,1
31868,84021,Wildlike,2014,Adventure,104,United States,Frank Hall Green,"Ella Purnell, Ann Dowd, Bruce Greenwood, Nolan Gerard Funk, Brian Geraghty, Diane Farr, Joshua Leonard, Russell Josh Peterson, Skadi, Erin Lindsay King",6.6,6.67,7.0,5,"Nackenzie (Ella Purnell) is a 14-year-old girl who, following the death of her father and hospitalization of her mother, is sent to stay with her uncle (Brian Geraghty) in Juneau, Alaska. After being molested by her uncle, she runs away from home: she will embark on an adventure with a kind of tramp (Bruce Greenwood), an elderly man and widower, through the wilderness of Alaska.",,0,0,0,0,0
19417,34103,Cattle Empire,1958,Western,83,United States,Charles Marquis Warren,"Joel McCrea, Gloria Talbot, Don Haggerty, Phyllis Coates",6.8,,7.0,4,,,0,0,0,0,0
2117,3215,Brimstone,1949,Western,90,United States,Joseph Kane,"Rod Cameron, Walter Brennan, Lorna Gray, Forrest Tucker, Jack Holt, Jim Davis, James Brown, Guinn 'Big Boy' Williams, Jack Lambert, Will Wright",5.5,4.0,7.0,3,A government inspector arrives in Oklahoma to bring a criminal to justice.,,0,0,0,0,0
32288,86784,The Mummy,2017,Action,107,United States,Alex Kurtzman,"Tom Cruise, Annabelle Wallis, Sofia Boutella, Jake Johnson, Russell Crowe, Courtney B. Vance, Marwan Kenzari",4.8,4.79,5.0,122,"Although buried in a forgotten crypt deep in the desert, a queen of antiquity awakens to the present day bringing with her anger heightened over millennia and terrors beyond human understanding. From the sands of the Middle East through hidden labyrinths, it will reach London ...",,0,0,0,0,0
28257,60129,Beneath,2013,Horror,90,United States,Larry Fessenden,"Daniel Zovatto, Bonnie Dennison, Chris Conroy, Jonny Orsini, Griffin Newman, Mackenzie Rosman, Mark Margolis, Emily D. Haley",5.6,7.67,4.0,29,"Six high school friends decide to celebrate their graduation with an excursion to the area of ??an isolated lake. Things take a turn for the worse when they find themselves confronted with a deadly underwater predator who tests their friendship in an extreme struggle for survival. With the boat out of order, the six friends will try to find a way to return to shore and decide which of them should be sacrificed.",,1,1,1,1,0
23302,42209,Invisible Invaders,1959,Fantasy,67,United States,Edward L. Cahn,"John Agar, Jean Byron, Philip Tonge, Robert Hutton, John Carradine, Hal Torey, Paul Langton, Eden Hartford",4.5,,5.0,4,"The aliens contact the scientist Adam Penner, informing him that they have been on the moon for twenty thousand years but have never been discovered by man thanks to their invisibility. If the earthly people do not immediately surrender to their will, humanity will be exterminated. Once on planet Earth, these beings bring the corpses back to life and take possession of their bodies. Together with his daughter, an army commander and Dr. Carol Noyman, Penner will try to stop them.",,0,0,0,0,0
34992,158999,Interrogation,2016,Action,93,United States,Stephen Reynolds,"Adam Copeland, C.J. Perry, Julia Benson, Erica Carroll, Patrick Sabongui, Michael Rogers, Kevin McNulty, Mitchell Kummen, Bob Frazer, Kwesi Ameyaw",2.9,2.0,4.0,8,"After the FBI receives a threat that endangers the entire city, Lucas Nolan, interrogator, and computer technology specialist Becky, are due to the plan of a criminal strategist, protagonists of a race against time to prevent their moves and protect thousands of lives.",,0,0,0,0,0
9584,14981,Last Man Standing,1996,Action,130,United States,Walter Hill,"Bruce Willis, Christopher Walken, Leslie Mann, Bruce Dern",6.8,7.08,7.0,132,"Jericho, state of Texas, 1931. A frontier town with a rapidly declining population. The latest cowboys have given way to tweed-clad mobsters from hot Chicago. They arrive driven by the need to control the illegal liquor trade arriving from neighboring Mexico. In the city, two rival gangs, headed by Doyle and Strozzi, rule. One day a mysterious stranger arrives who calls himself Smith. He is kind, cynical and elusive, but he is perfectly aware of the evil that dominates the city ...","Modern, deafening and angry Western with a gold cameo by Christopher Walken. Its weak side is the inexpressiveness of Bruce Willis.",1,3,0,2,1
29469,67337,Hunger,2009,Horror,101,United States,Steven Hentges,"Lori Heuring, Linden Ashby, Joe Egender, Lea Kohl, Julian Rojas, Bjorn Johnson, Britton Partain, Laura Albyn, John Cooley, Ian Hopper",4.0,2.5,6.0,4,5 strangers find themselves locked in an underground hole for a perverse experiment on survival skills.,,0,2,0,1,0
30496,74270,Cybernatural,2014,Horror,82,United States,Levan Gabriadze,"Heather Sossaman, Shelley Hennig, Renee Olstead, Will Peltz, Jacob Wysocki, Courtney Halverson, Cal Barnes, Matthew Bohrer, Mickey River, Moses Jacob Storm",4.4,4.57,4.0,69,"During an overnight video chat, six high school friends receive a Skype message from a classmate who killed herself exactly a year ago. At first they think this is a joke, but then they realize that they are dealing with something that is not part of this world, something that wants them dead.","The world (real and, consequently, cinematic) is closed in a frame of hyperbolic virtuality, free from any hold to an outside, an after, an beyond. Our present is given by the interaction with (the protagonists) and by the observation of (the public) what happens inside. Under the productive aegis of Timur Bekmambetov, Gabriadze reflects on the filmic (and extra-film) device with a conscious contemporary conscience: what is frightening today is precisely that frame.",0,3,1,3,0
